RECID=R2012111530000002	一	yī
RECID=R2012111530023696	平价	píng jià
RECID=R2012111530023697	平伙	píng huǒ
RECID=R2012111530023698	平行	píng xíng
RECID=R2012111530023699	平行文	píng xíng wén
RECID=R2012111530023700	平行四边形	píng xíng sì biān xíng
RECID=R2012111530023701	平行作业	píng xíng zuò yè
RECID=R2012111530023702	平行线	píng xíng xiàn
RECID=R2012111530023703	平行移动	píng xíng yí dòng
RECID=R2012111530023704	平交道	píng jiāo dào
RECID=R2012111530023705	平产	píng chǎn
RECID=R2012111530023706	平米	píng mǐ
RECID=R2012111530023707	平字	píng zì
RECID=R2012111530023708	平安	píng ān
RECID=R2012111530023709	平安符	píng ān fú
RECID=R2012111530023710	平收	píng shōu
RECID=R2012111530023711	平远	píng yuǎn
RECID=R2012111530023712	平均	píng jūn
RECID=R2012111530023713	平均工资	píng jūn gōng zī
RECID=R2012111530023714	平均水位	píng jūn shuǐ wèi
RECID=R2012111530023715	平均气温	píng jūn qì wēn
RECID=R2012111530023716	平均主义	píng jūn zhǔ yì
RECID=R2012111530023717	平均地权	píng jūn dì quán
RECID=R2012111530023718	平均寿命	píng jūn shòu mìng
RECID=R2012111530023719	平均利润	píng jūn lì rùn
RECID=R2012111530023720	平均速度	píng jūn sù dù
RECID=R2012111530023721	平均数	píng jūn shù
RECID=R2012111530023722	平抑	píng yì
RECID=R2012111530023723	平声	píng shēng
RECID=R2012111530023724	平步青云	píng bù qīng yún
RECID=R2012111530023725	平时	píng shí
RECID=R2012111530023726	平时不烧香，临时抱佛脚	píng shí bù shāo xiāng lín shí
RECID=R2012111530023727	平旷	píng kuàng
RECID=R2012111530023728	平足	píng zú
RECID=R2012111530023729	平妥	píng tuǒ
RECID=R2012111530023730	平肝	píng gān
RECID=R2012111530023731	平角	píng jiǎo
RECID=R2012111530023732	平沙	píng shā
RECID=R2012111530023733	平泛	píng fàn
RECID=R2012111530023734	平补	píng bǔ
RECID=R2012111530023735	平局	píng jú
RECID=R2012111530023736	平纹	píng wén
RECID=R2012111530023737	平坦	píng tǎn
RECID=R2012111530023738	平顶	píng dǐng
RECID=R2012111530023739	平坡	píng pō
RECID=R2012111530023740	平昔	píng xī
RECID=R2012111530023741	平直	píng zhí
RECID=R2012111530023742	平板	píng bǎn
RECID=R2012111530023743	平板车	píng bǎn chē
RECID=R2012111530023744	平板仪	píng bǎn yí
RECID=R2012111530023745	平码馆	píng mǎ guǎn
RECID=R2012111530023746	平软	píng ruǎn
RECID=R2012111530023747	平畅	píng chàng
RECID=R2012111530023748	平明	píng míng
RECID=R2012111530023749	平易	píng yì
RECID=R2012111530023750	平易近人	píng yì jìn rén
RECID=R2012111530023751	平和	píng hé
RECID=R2012111530023752	平货	píng huò
RECID=R2012111530023753	平金	píng jīn
RECID=R2012111530023754	平籴	píng dí
RECID=R2012111530023755	平服	píng fú
RECID=R2012111530023756	平底足	píng dǐ zú
RECID=R2012111530023757	平炉	píng lú
RECID=R2012111530023758	平定	píng dìng
RECID=R2012111530023759	平空	píng kōng
RECID=R2012111530023760	平实	píng shí
RECID=R2012111530023761	平房	píng fáng
RECID=R2012111530023762	平视	píng shì
RECID=R2012111530023763	平话	píng huà
RECID=R2012111530023764	平居	píng jū
RECID=R2012111530023765	平拱	píng gǒng
RECID=R2012111530023766	平巷	píng hàng
RECID=R2012111530023767	平面	píng miàn
RECID=R2012111530023768	平面几何	píng miàn jǐ hé
RECID=R2012111530023769	平面对称	píng miàn duì chèn
RECID=R2012111530023770	平面角	píng miàn jiǎo
RECID=R2012111530023771	平面图	píng miàn tú
RECID=R2012111530023772	平面波	píng miàn bō
RECID=R2012111530023773	平面镜	píng miàn jìng
RECID=R2012111530023774	平面磨床	píng miàn mó chuáng
RECID=R2012111530023775	平战	píng zhàn
RECID=R2012111530023776	平峒	píng dòng
RECID=R2012111530023777	平贴	píng tiē
RECID=R2012111530023778	平复	píng fù
RECID=R2012111530023779	平顺	píng shùn
RECID=R2012111530023780	平俗	píng sú
RECID=R2012111530023781	平信	píng xìn
RECID=R2012111530023782	平衍	píng yǎn
RECID=R2012111530023783	平叛	píng pàn
RECID=R2012111530023784	平津	píng jīn
RECID=R2012111530023785	平屋	píng wū
RECID=R2012111530023786	平屋顶	píng wū dǐng
RECID=R2012111530023787	平绒	píng róng
RECID=R2012111530023788	平素	píng sù
RECID=R2012111530023789	平起平坐	píng qǐ píng zuò
RECID=R2012111530023790	平莹	píng yíng
RECID=R2012111530023791	平原	píng yuán
RECID=R2012111530023792	平射炮	píng shè pào
RECID=R2012111530023793	平息	píng xī
RECID=R2012111530023794	平途	píng tú
RECID=R2012111530023795	平胸龟	píng xiōng guī
RECID=R2012111530023796	平准	píng zhǔn
RECID=R2012111530023797	平流层	píng liú céng
RECID=R2012111530023798	平袖	píng xiù
RECID=R2012111530023799	平调	píng diào
RECID=R2012111530023800	平调曲	píng diào qǔ
RECID=R2012111530023801	平展	píng zhǎn
RECID=R2012111530023802	平展展	píng zhǎn zhǎn
RECID=R2012111530023803	平剧	píng jù
RECID=R2012111530023804	平菇	píng gū
RECID=R2012111530023805	平硐	píng dòng
RECID=R2012111530023806	平常	píng cháng
RECID=R2012111530023807	平常邮件	píng cháng yóu jiàn
RECID=R2012111530023808	平野	píng yě
RECID=R2012111530023809	平畦	píng qí
RECID=R2012111530023810	平移	píng yí
RECID=R2012111530023811	平盘	píng pán
RECID=R2012111530023812	平庸	píng yōng
RECID=R2012111530023813	平添	píng tiān
RECID=R2012111530023814	平淡	píng dàn
RECID=R2012111530023815	平淡无奇	píng dàn wú qí
RECID=R2012111530023816	平情	píng qíng
RECID=R2012111530023817	平粜	píng tiào
RECID=R2012111530023818	平辈	píng bèi
RECID=R2012111530023819	平敞	píng chǎng
RECID=R2012111530023820	平晶	píng jīng
RECID=R2012111530023821	平畴	píng chóu
RECID=R2012111530023822	平铺	píng pū
RECID=R2012111530023823	平铺直叙	píng pū zhí xù
RECID=R2012111530023824	平销	píng xiāo
RECID=R2012111530023825	平锅	píng guō
RECID=R2012111530023826	平等	píng děng
RECID=R2012111530023827	平装	píng zhuāng
RECID=R2012111530023828	平阔	píng kuò
RECID=R2012111530023829	平道	píng dào
RECID=R2012111530023830	平滑	píng huá
RECID=R2012111530023831	平滑肌	píng huá jī
RECID=R2012111530023832	平摊	píng tān
RECID=R2012111530023833	平跟鞋	píng gēn xié
RECID=R2012111530023834	平毁	píng huǐ
RECID=R2012111530023835	平靖	píng jìng
RECID=R2012111530023836	平静	píng jìng
RECID=R2012111530023837	平稳	píng wěn
RECID=R2012111530023838	平漫	píng màn
RECID=R2012111530023839	平槽	píng cáo
RECID=R2012111530023840	平碾	píng niǎn
RECID=R2012111530023841	平暴	píng bào
RECID=R2012111530023842	平潮	píng cháo
RECID=R2012111530023843	平整	píng zhěng
RECID=R2012111530023844	平衡	píng héng
RECID=R2012111530023845	平衡木	píng héng mù
RECID=R2012111530023846	平衡棒	píng héng bàng
RECID=R2012111530023847	平窿	píng lóng
RECID=R2012111530023849	工	gōng
RECID=R2012111530023850	工厂	gōng chǎng
RECID=R2012111530023851	工人	gōng rén
RECID=R2012111530023852	工人阶级	gōng rén jiē jí
RECID=R2012111530023853	工人运动	gōng rén yùn dòng
RECID=R2012111530023854	工力	gōng lì
RECID=R2012111530023855	工夫	gōng fu
RECID=R2012111530023856	工艺	gōng yì
RECID=R2012111530023857	工艺品	gōng yì pǐn
RECID=R2012111530023858	工艺美术	gōng yì měi shù
RECID=R2012111530023859	工艺流程	gōng yì liú chéng
RECID=R2012111530023860	工区	gōng qū
RECID=R2012111530023861	工友	gōng yǒu
RECID=R2012111530023862	工日	gōng rì
RECID=R2012111530023863	工长	gōng zhǎng
RECID=R2012111530023864	工分	gōng fēn
RECID=R2012111530023865	工尺	gōng chě
RECID=R2012111530023866	工尺谱	gōng chě pǔ
RECID=R2012111530023867	工巧	gōng qiǎo
RECID=R2012111530023868	工本	gōng běn
RECID=R2012111530023869	工业	gōng yè
RECID=R2012111530023870	工业气压	gōng yè qì yā
RECID=R2012111530023871	工业化	gōng yè huà
RECID=R2012111530023872	工业产品	gōng yè chǎn pǐn
RECID=R2012111530023873	工业体系	gōng yè tǐ xì
RECID=R2012111530023874	工业国	gōng yè guó
RECID=R2012111530023875	工业建筑	gōng yè jiàn zhù
RECID=R2012111530023876	工业革命	gōng yè gé mìng
RECID=R2012111530023877	工业品	gōng yè pǐn
RECID=R2012111530023878	工业病	gōng yè bìng
RECID=R2012111530023879	工业基地	gōng yè jī dì
RECID=R2012111530023880	工号	gōng hào
RECID=R2012111530023881	工头	gōng tóu
RECID=R2012111530023882	工对	gōng duì
RECID=R2012111530023883	工纠队	gōng jiū duì
RECID=R2012111530023884	工地	gōng dì
RECID=R2012111530023885	工场	gōng chǎng
RECID=R2012111530023886	工场手工业	gōng chǎng shǒu gōng yè
RECID=R2012111530023887	工匠	gōng jiàng
RECID=R2012111530023888	工休	gōng xiū
RECID=R2012111530023889	工件	gōng jiàn
RECID=R2012111530023890	工伤	gōng shāng
RECID=R2012111530023891	工价	gōng jià
RECID=R2012111530023892	工会	gōng huì
RECID=R2012111530023893	工名	gōng míng
RECID=R2012111530023894	工交	gōng jiāo
RECID=R2012111530023895	工字钢	gōng zì gāng
RECID=R2012111530023896	工农红军	gōng nóng hóng jūn
RECID=R2012111530023897	工农兵方向	gōng nóng bīng fāng xiàng
RECID=R2012111530023898	工农速成中学	gōng nóng sù chéng zhōng xué
RECID=R2012111530023899	工农联盟	gōng nóng lián méng
RECID=R2012111530023900	工运	gōng yùn
RECID=R2012111530023901	工技	gōng jì
RECID=R2012111530023902	工时	gōng shí
RECID=R2012111530023903	工员	gōng yuán
RECID=R2012111530023904	工兵	gōng bīng
RECID=R2012111530023905	工作	gōng zuò
RECID=R2012111530023906	工作日	gōng zuò rì
RECID=R2012111530023907	工作午餐	gōng zuò wǔ cān
RECID=R2012111530023908	工作队	gōng zuò duì
RECID=R2012111530023909	工作母机	gōng zuò mǔ jī
RECID=R2012111530023910	工作饭	gōng zuò fàn
RECID=R2012111530023911	工作证	gōng zuò zhèng
RECID=R2012111530023912	工作服	gōng zuò fú
RECID=R2012111530023913	工作组	gōng zuò zǔ
RECID=R2012111530023914	工作面	gōng zuò miàn
RECID=R2012111530023915	工作站	gōng zuò zhàn
RECID=R2012111530023916	工作帽	gōng zuò mào
RECID=R2012111530023917	工作餐	gōng zuò cān
RECID=R2012111530023918	工位	gōng wèi
RECID=R2012111530023919	工役	gōng yì
RECID=R2012111530023920	工余	gōng yú
RECID=R2012111530023921	工况	gōng kuàng
RECID=R2012111530023922	工序	gōng xù
RECID=R2012111530023923	工间操	gōng jiān cāo
RECID=R2012111530023924	工拙	gōng zhuō
RECID=R2012111530023925	工事	gōng shì
RECID=R2012111530023926	工矿	gōng kuàng
RECID=R2012111530023927	工具	gōng jù
RECID=R2012111530023928	工具书	gōng jù shū
RECID=R2012111530023929	工具钢	gōng jù gāng
RECID=R2012111530023930	工具磨床	gōng jù mó chuáng
RECID=R2012111530023931	工账	gōng zhàng
RECID=R2012111530023932	工质	gōng zhì
RECID=R2012111530023933	工服	gōng fú
RECID=R2012111530023934	工房	gōng fáng
RECID=R2012111530023935	工细	gōng xì
RECID=R2012111530023936	工种	gōng zhǒng
RECID=R2012111530023937	工科	gōng kē
RECID=R2012111530023938	工段	gōng duàn
RECID=R2012111530023939	工段长	gōng duàn zhǎng
RECID=R2012111530023940	工宣队	gōng xuān duì
RECID=R2012111530023941	工架	gōng jià
RECID=R2012111530023942	工致	gōng zhì
RECID=R2012111530023943	工贼	gōng zéi
RECID=R2012111530023944	工钱	gōng qian
RECID=R2012111530023945	工笔	gōng bǐ
RECID=R2012111530023946	工效	gōng xiào
RECID=R2012111530023947	工效挂钩	gōng xiào guà gōu
RECID=R2012111530023948	工资	gōng zī
RECID=R2012111530023949	工资分	gōng zī fēn
RECID=R2012111530023950	工资标准	gōng zī biāo zhǔn
RECID=R2012111530023951	工资总额	gōng zī zǒng é
RECID=R2012111530023952	工资率	gōng zī lǜ
RECID=R2012111530023953	工部	gōng bù
RECID=R2012111530023954	工部局	gōng bù jú
RECID=R2012111530023955	工料	gōng liào
RECID=R2012111530023956	工读	gōng dú
RECID=R2012111530023957	工读学校	gōng dú xué xiào
RECID=R2012111530023958	工读教育	gōng dú jiào yù
RECID=R2012111530023959	工课	gōng kè
RECID=R2012111530023960	工调	gōng tiáo
RECID=R2012111530023961	工娱疗法	gōng yú liáo fǎ
RECID=R2012111530023962	工票	gōng piào
RECID=R2012111530023963	工银	gōng yín
RECID=R2012111530023964	工商业	gōng shāng yè
RECID=R2012111530023965	工商业者	gōng shāng yè zhě
RECID=R2012111530023966	工商税	gōng shāng shuì
RECID=R2012111530023967	工期	gōng qī
RECID=R2012111530023968	工棚	gōng péng
RECID=R2012111530023969	工程	gōng chéng
RECID=R2012111530023970	工程大气压	gōng chéng dà qì yā
RECID=R2012111530023971	工程车	gōng chéng chē
RECID=R2012111530023972	工程水文学	gōng chéng shuǐ wén xué
RECID=R2012111530023973	工程师	gōng chéng shī
RECID=R2012111530023974	工程兵	gōng chéng bīng
RECID=R2012111530023975	工程画	gōng chéng huà
RECID=R2012111530023976	工程图样	gōng chéng tú yàng
RECID=R2012111530023977	工程制	gōng chéng zhì
RECID=R2012111530023978	工程制图	gōng chéng zhì tú
RECID=R2012111530023979	工程单位制	gōng chéng dān wèi zhì
RECID=R2012111530023980	工程食品	gōng chéng shí pǐn
RECID=R2012111530023981	工程热力学	gōng chéng rè lì xué
RECID=R2012111530023982	工程塑料	gōng chéng sù liào
RECID=R2012111530023983	工牌	gōng pái
RECID=R2012111530023984	工装	gōng zhuāng
RECID=R2012111530023985	工楷	gōng kǎi
RECID=R2012111530023986	工频	gōng pín
RECID=R2012111530023987	工龄	gōng líng
RECID=R2012111530023988	工蜂	gōng fēng
RECID=R2012111530023989	工粮	gōng liáng
RECID=R2012111530023990	工稳	gōng wěn
RECID=R2012111530023991	工潮	gōng cháo
RECID=R2012111530023992	工薪	gōng xīn
RECID=R2012111530023993	工整	gōng zhěng
RECID=R2012111530023994	工缴费	gōng jiǎo fèi
RECID=R2012111530023995	左	zuǒ
RECID=R2012111530023996	左支右绌	zuǒ zhī yòu chù
RECID=R2012111530023997	左不过	zuǒ bu guò
RECID=R2012111530023998	左不是	zuǒ bu shì
RECID=R2012111530023999	左手	zuǒ shǒu
RECID=R2012111530024000	左右	zuǒ yòu
RECID=R2012111530024001	左右开弓	zuǒ yòu kāi gōng
RECID=R2012111530024002	左右手	zuǒ yòu shǒu
RECID=R2012111530024003	左右为难	zuǒ yòu wéi nán
RECID=R2012111530024004	左右逢源	zuǒ yòu féng yuán
RECID=R2012111530024005	左右翼	zuǒ yòu yì
RECID=R2012111530024006	左边	zuǒ bian
RECID=R2012111530024007	左迁	zuǒ qiān
RECID=R2012111530024008	左次三番	zuǒ cì sān fān
RECID=R2012111530024009	左还	zuǒ huán
RECID=R2012111530024010	左近	zuǒ jìn
RECID=R2012111530024011	左邻右里	zuǒ lín yòu lǐ
RECID=R2012111530024012	左邻右舍	zuǒ lín yòu shè
RECID=R2012111530024013	左轮	zuǒ lún
RECID=R2012111530024014	左券	zuǒ quàn
RECID=R2012111530024015	左视图	zuǒ shì tú
RECID=R2012111530024016	左视眼	zuǒ shì yǎn
RECID=R2012111530024017	左思右想	zuǒ sī yòu xiǎng
RECID=R2012111530024018	左首	zuǒ shǒu
RECID=R2012111530024019	左派	zuǒ pài
RECID=R2012111530024020	左顾右盼	zuǒ gù yòu pàn
RECID=R2012111530024021	左倾	zuǒ qīng
RECID=R2012111530024022	“左”倾机会主义	zuǒ qīng jī huì zhǔ yì
RECID=R2012111530024023	左袒	zuǒ tǎn
RECID=R2012111530024024	左舷	zuǒ xián
RECID=R2012111530024025	左提右挈	zuǒ tí yòu qiè
RECID=R2012111530024026	左联	zuǒ lián
RECID=R2012111530024027	左脾气	zuǒ pí qi
RECID=R2012111530024028	左道旁门	zuǒ dào páng mén
RECID=R2012111530024029	左嗓子	zuǒ sǎng zi
RECID=R2012111530024030	左溜	zuǒ liù
RECID=R2012111530024031	左撇子	zuǒ piě zi
RECID=R2012111530024032	左翼	zuǒ yì
RECID=R2012111530024033	左癖	zuǒ pǐ
RECID=R2012111530024034	巧	qiǎo
RECID=R2012111530024035	巧手	qiǎo shǒu
RECID=R2012111530024036	巧计	qiǎo jì
RECID=R2012111530024037	巧立名目	qiǎo lì míng mù
RECID=R2012111530024038	巧对	qiǎo duì
RECID=R2012111530024039	巧匠	qiǎo jiàng
RECID=R2012111530024040	巧夺天工	qiǎo duó tiān gōng
RECID=R2012111530024041	巧舌如簧	qiǎo shé rú huáng
RECID=R2012111530024042	巧合	qiǎo hé
RECID=R2012111530024043	巧妇难为无米之炊	qiǎo fù nán wéi wú mǐ zhī chuī
RECID=R2012111530024044	巧克丁	qiǎo kè dīng
RECID=R2012111530024045	巧克力	qiǎo kè lì
RECID=R2012111530024046	巧丽	qiǎo lì
RECID=R2012111530024047	巧言令色	qiǎo yán lìng sè
RECID=R2012111530024048	巧言如簧	qiǎo yán rú huáng
RECID=R2012111530024049	巧诈	qiǎo zhà
RECID=R2012111530024050	巧妙	qiǎo miào
RECID=R2012111530024051	巧劲儿	qiǎo jìnr
RECID=R2012111530024052	巧取豪夺	qiǎo qǔ háo duó
RECID=R2012111530024053	巧果	qiǎo guǒ
RECID=R2012111530024054	巧法	qiǎo fǎ
RECID=R2012111530024055	巧宗儿	qiǎo zōngr
RECID=R2012111530024056	巧便	qiǎo biàn
RECID=R2012111530024057	巧语花言	qiǎo yǔ huā yán
RECID=R2012111530024058	巧笑	qiǎo xiào
RECID=R2012111530024059	巧遇	qiǎo yù
RECID=R2012111530024060	巧辩	qiǎo biàn
RECID=R2012111530024061	𢀖	jīng
RECID=R2012111530024062	巩	gǒng
RECID=R2012111530024063	巩固	gǒng gù
RECID=R2012111530024064	巩膜	gǒng mó
RECID=R2012111530024065	巫	wū
RECID=R2012111530024066	巫山神女	wū shān shén nǚ
RECID=R2012111530024067	巫术	wū shù
RECID=R2012111530024068	巫师	wū shī
RECID=R2012111530024069	巫神	wū shén
RECID=R2012111530024070	巫婆	wū pó
RECID=R2012111530024071	差	chā
RECID=R2012111530024072	差之毫厘，谬以千里	chā zhī háo lí miù yǐ qiān lǐ
RECID=R2012111530024073	差价	chā jià
RECID=R2012111530024074	差池	chā chí
RECID=R2012111530024075	差异	chā yì
RECID=R2012111530024076	差别	chā bié
RECID=R2012111530024077	差迟	chā chí
RECID=R2012111530024078	差转台	chā zhuǎn tái
RECID=R2012111530024079	差误	chā wù
RECID=R2012111530024080	差距	chā jù
RECID=R2012111530024081	差堪	chā kān
RECID=R2012111530024082	差强人意	chā qiáng rén yì
RECID=R2012111530024083	差错	chā cuò
RECID=R2012111530024084	差数	chā shù
RECID=R2012111530024085	差额	chā é
RECID=R2012111530024086	差额选举	chā é xuǎn jǔ
RECID=R2012111530024087	差	chà
RECID=R2012111530024088	差一点	chà yī diǎn
RECID=R2012111530024089	差不多	chà bu duō
RECID=R2012111530024090	差不点	chà bu diǎn
RECID=R2012111530024091	差不离	chà bu lí
RECID=R2012111530024092	差生	chà shēng
